Area,Population density,GDP per capita,"Agriculture, value added (% GDP)",Total renewable water resources per capita,Total population with access to safe drinking-water (JMP),SDG 6.4.2. Water Stress,Agricultural water withdrawal,Industrial water withdrawal,National Rainfall Index (NRI),latitude,Poplulation ages 65 and above
Equatorial Guinea,0.036983862,0.194578718,0.110532962,0,0.133069118,0.00222193,0.001710303,0.01011637,0.83707436,0.401945143,0.631685891
Saudi Arabia,0.012316642,0.234848091,0.180970208,0.01106993,0.812481261,0.220358864,0.028275195,0.01709201,0.028457233,0.611980311,0.071949083
Yemen,0.046641231,0.013480052,0.282226591,0.011066273,0.152157098,0.041534916,0.006186607,0.010516892,0.069220423,0.533263999,0.151337278
Costa Rica,0.088871212,0.122605063,0.17057094,0.041808431,0.815716341,0.003845596,0.005970571,0.012730768,0.955945819,0.478440674,0.638060991
Comoros,0.392605009,0.014423132,0.471569506,0.012531905,0.688678984,0.002352352,0.001714827,0.010098501,0.750036415,0.274178968,0.382104765
New Zealand,0.013515377,0.502435488,0.190700482,0.147734649,0.819631695,0.003949762,0.007090984,0.018525058,0.370041085,0,0.055204383
Switzerland,0.170293669,1,0.147344026,0.024474731,0.819631695,0.003665893,0.001998925,0.013577492,0.553424822,0.828601305,0.019558542
Cuba,0.088706272,0.083185095,0.156960889,0.018060327,0.783335307,0.007757356,0.008364761,0.015338156,0.344877237,0.589648765,0.496388648
Uzbekistan,0.062512861,0.022885884,0.435204627,0.013895712,0.634058035,0.036609437,0.066029193,0.021826077,0.04705978,0.777207863,0.909322955
Kyrgyzstan,0.025202523,0.014222475,0.185156487,0.018691723,0.760480626,0.01095313,0.008990036,0.01203385,0.1187049,0.775572741,0.294965355
Mozambique,0.029240116,0.003026287,0.339807409,0.021295974,0.258095888,0.00262497,0.003315606,0.010283841,0.339516493,0.210033279,0.064587142
Russian Federation,0.005108806,0.176683151,0.161837697,0.081839198,0.795550001,0.002826241,0.023531341,0.144179576,0.162499691,0.967513888,0.557742039
Colombia,0.037291148,0.078899636,0.171406987,0.089023857,0.72007992,0.002704754,0.011916716,0.039289266,0.980655872,0.429528724,0.056416366
Tajikistan,0.054423118,0.00959242,0.313764711,0.015505212,0.578678707,0.016231169,0.014737547,0.011871374,0.078972299,0.75343673,0.293415731
Italy,0.164278323,0.463790801,0.150490364,0.018055734,0.819631695,0.008063353,0.01813993,0.056048311,0.272439903,0.781878019,1
Nepal,0.177339138,0.006817835,0.332076346,0.022150434,0.826945898,0.003953749,0.013714564,0.010261966,0.59966548,0.654572814,0.696095562
Honduras,0.075537382,0.02448572,0.223333935,0.020922538,0.786734157,0.003166016,0.003226243,0.010819448,0.510190783,0.529932356,0.245489122
Liberia,0.034409756,0.001378307,1,0.079824278,0.5853983,0.002233039,0.001684905,0.010477929,0.847630593,0.447072037,0.474325902
Mali,0.011065077,0.007757495,0.336577572,0.019556521,0.739419852,0.004492566,0.010536247,0.010092167,0.186826219,0.552326246,0.06175837
Azerbaijan,0.097945122,0.07931599,0.097992935,0.018125075,0.735396159,0.012320487,0.012065752,0.024247456,0.1363697,0.765547586,0.097008043
United Republic of Tanzania,0.049184019,0.007327395,0.415035481,0.012584282,0.239589921,0.005603607,0.009179415,0.010232974,0.392344858,0.326189241,0.695728341
Sierra Leone,0.087845584,0.003496199,0.728406909,0.044753814,0.441119781,0.002259663,0.001639913,0.010499495,0.874121141,0.466271253,0.079498535
Central African Republic,0.005236128,0.002775953,0.511475092,0.051186431,0.458907682,0.002270239,0.001709288,0.010181147,0.445638077,0.448800675,0.044982724
Kenya,0.076709452,0.012702918,0.378604609,0.011443625,0.432450069,0.010097385,0.005819306,0.011604387,0.305702032,0.386128579,0.118108738
Australia,0.001012483,0.745257462,0.16306835,0.048438072,0.819631695,0.003193544,0.010313524,0.026162047,0.235609711,0.147606781,0.596377828
Indonesia,0.121071731,0.039955874,0.226048614,0.023774389,0.73711196,0.009838363,0.297076651,0.116862753,1,0.378895693,0.075817553
Hungary,0.082891266,0.177931145,0.13311293,0.035203819,0.843098622,0.004108387,0.001724029,0.034594834,0.19471831,0.8318536,0.077291074
Israel,0.337402766,0.465018071,0.144791342,0.011340449,0.819631695,0.023677864,0.003091763,0.010706671,0.122373197,0.679616337,0.129057643
Denmark,0.111693643,0.759485924,0.148604792,0.013353535,0.819631695,0.004564306,0.001825298,0.010346724,0.237645191,0.917826413,0.230595255
India,0.371043122,0.017712704,0.238747332,0.013247899,0.855315836,0.01900574,1,0.100058636,0.487345462,0.580881832,0.176566923
Japan,0.287882998,0.562815906,0.146612971,0.018214723,0.819631695,0.009912681,0.069949965,0.063346798,0.535233711,0.728345977,0.057418568
Malawi,0.130403789,0.002057399,0.320465132,0.011991459,0.904703716,0.006331855,0.003360245,0.010405966,0.371895118,0.26114995,0.173528154
Gambia,0.174089314,0.004879536,0.344894694,0.012238614,0.768893346,0.002812618,0.001771227,0.010258907,0.179647966,0.513337433,0.08169555
Austria,0.085560219,0.626301823,0.148297982,0.030381259,0.819631695,0.004251276,0.001776119,0.024774322,0.394282318,0.835194689,0.644054708
Latvia,0.020279329,0.223001219,0.127031942,0.054002293,0.814081164,0.002326033,0.001785724,0.010197348,0.195428201,0.923642382,0.302544291
Chile,0.01997042,0.179834341,0.173011303,0.102052836,0.851617162,0.004533502,0.039606882,0.041856369,0.913066766,0.04936064,0.32137607
Zambia,0.017925995,0.014901247,0.221428776,0.016923055,0.433873605,0.002748017,0.003067113,0.010858259,0.354037129,0.262287262,0.037650303
Slovenia,0.083071984,0.332361286,0.147518595,0.045040995,0.812660148,0.003554765,0.001712928,0.014412417,0.327333813,0.822300751,0.069258639
Germany,0.190156538,0.572052037,0.14921642,0.015166825,0.819631695,0.007078965,0.001213574,0.07262749,0.293388893,0.869668262,0.724119852
Somalia,0.018115628,0,0.630619399,0.012284912,0,0.009307568,0.007443433,0.010112147,0.126389021,0.435018802,0.21565845
Namibia,0.000917467,0.06028639,0.221740112,0.032432001,0.801322251,0.002386115,0.002004306,0.010186088,0.10307902,0.169491525,0.05113673
South Africa,0.040874228,0.07815056,0.15724767,0.012394928,0.780921595,0.014623984,0.015895128,0.029585792,0.174997925,0.097683153,0.586880463
Cyprus,0.11375734,0.380722815,0.131650952,0.012180006,0.819631695,0.008687718,0.001939412,0.010169668,0.09040741,0.718159294,0.655987454
Uganda,0.147127414,0.005292151,0.301764124,0.011951969,0.727978655,0.003597228,0.00206456,0.010417356,0.481043957,0.399323848,0.047734256
Lao People's Democratic Republic,0.025104782,0.020283857,0.276327651,0.078740207,0.725028282,0.00356313,0.014107415,0.011200119,0.690397867,0.573916272,0.124442129
Afghanistan,0.046578786,0.004826121,0.360926125,0.012999618,0.403755112,0.014871278,0.024056686,0.011445376,0.039092682,0.706943929,0.654794119
Iceland,0.001105473,0.811435075,0.178298465,1,0.819631695,0.00226854,0.001737802,0.01129691,0.30539865,1,0.08955722
Cambodia,0.079770531,0.011731469,0.346350111,0.04958262,0.750135425,0.002396002,0.004353396,0.010344881,0.838199029,0.505048473,0.636693619
Belgium,0.32130995,0.576083855,0.147611383,0.014569747,0.819631695,0.011187675,0.001612265,0.024797782,0.387480439,0.863416827,0.687829637
Angola,0.019134071,0.049153617,0.186675888,0.012996151,0.150438777,0.00263586,0.001765617,0.011881474,0.391473094,0.280529587,0.115614132
Burundi,0.3299298,0.000818652,0.423762474,0.01259118,0.534808604,0.005023266,0.002090251,0.010215157,0.33440377,0.354488838,0.050988225
Congo,0.011537226,0.030299078,0.171439964,0.160679997,0.560054321,0.002179613,0.001713684,0.010255143,0.563891566,0.348205287,0.317520525
Oman,0.010438508,0.228956123,0.15957543,0.011138508,0.817958725,0.029256021,0.003965672,0.011026748,0,0.589561861,0
Thailand,0.121045703,0.072360573,0.179763643,0.022648742,0.843816689,0.007116841,0.068423358,0.028954184,0.605279807,0.536261249,0.11422637
Republic of Moldova,0.093345141,0.028734532,0.14460353,0.01800735,0.686985858,0.003002547,0.001305213,0.013194882,0.176954742,0.834206626,0.32100263
Slovakia,0.089768639,0.268903544,0.171103321,0.031529185,0.820954449,0.002326447,0.001717744,0.009894875,0.262696539,0.846084163,0.079356534
Egypt,0.084060591,0.028351414,0.208543026,0.011893576,0.839855984,0.031345337,0.086744402,0.028352923,0.029118538,0.639701805,0.679616808
Ecuador,0.058610744,0.062863608,0.206711411,0.048492684,0.70994384,0.003663167,0.012112074,0.013431931,0.903019689,0.369053793,0.149865749
Gabon,0.004886395,0.088948902,0.192727855,0.099484243,0.810584053,0.00231003,0.00178287,0.010174496,0.610826401,0.378759669,0.044258198
Jordan,0.092507817,0.042716371,0.173606385,0.011053436,0.781266771,0.026649802,0.002502315,0.010323689,0.029876202,0.675262625,0.057152793
Mongolia,0,0.040901648,0.285839976,0.030301047,0.41433211,0.002941949,0.002050341,0.011088127,0.050755017,0.829019768,0.11786357
Bangladesh,1,0.011280095,0.220214792,0.021922857,0.732622153,0.003402746,0.042286286,0.015570986,0.756159455,0.610082587,0.091120935
Viet Nam,0.259458902,0.0209675,0.213895775,0.026524844,0.948541065,0.006912576,0.124584772,0.02872159,0.723908798,0.519147734,0.306623492
Kuwait,0.181820751,0.489321348,0.151676877,0.011057977,0.806404148,1,0.002880243,0.010235973,0.010172791,0.663233006,0.048356112
Ethiopia,0.089975302,0.007600914,0.434497439,0.012770312,0.458043482,0.011058551,0.017579316,0.010483497,0.357817174,0.472736169,0.084151537
Greece,0.069861339,0.286872494,0.15453641,0.024168927,0.833776351,0.007659653,0.01544133,0.011423087,0.182952547,0.755450641,0.12518384
Romania,0.066168119,0.110306575,0.174086507,0.035003323,0.953950501,0.00265997,0,0.025795197,0.21846731,0.82033596,0.016340002
Iraq,0.07344093,0.057976384,0.164817237,0.013615083,0.69053084,0.017546337,0.055309576,0.044924805,0.06361844,0.70018146,0.44072348
Botswana,0.00180011,0.08985506,0.105246403,0.016701337,0.787583239,0.002721554,0.001812318,0.010276646,0.136843032,0.175434072,0.253806217
Eritrea,0.026371165,0.012499886,0.340017952,0.014432695,0.32111192,0.004810244,0.002531144,0.009989407,0.101207674,0.529737767,0.561126975
Belarus,0.034135582,0.086032041,0.158052829,0.025247093,0.816754388,0.003010614,0.002244654,0.012112271,0.208853802,0.893700107,0.135155347
Fiji,0.041291394,0.060088141,0.206925364,0.073422353,0.817777319,0.002256612,0.001792524,0.010156959,0.756852023,0.22975203,0.708493192
Bolivia (Plurinational State of),0.007449759,0.030765081,0.215031032,0.089223526,0.791579218,0.002473076,0.004691065,0.010198967,0.470182192,0.232472509,0.184854935
Sri Lanka,0.284299497,0.040714333,0.180453594,0.015870626,0.892468865,0.023526192,0.017086764,0.016258971,0.550063188,0.460721664,0.226562108
Poland,0.102322094,0.163141703,0.125158452,0.014446471,0.817424584,0.009194542,0.002820046,0.044700106,0.201206687,0.876787794,0.844678484
United Kingdom,0.224344447,0.591226608,0.148450082,0.01591249,0.819631695,0.004821503,0.003104815,0,0.382402114,0.90945905,0.475904352
Albania,0.088794426,0.047938124,0.25478116,0.03248712,0.752224117,0.003716141,0.002570951,0.011634831,0.366375738,0.775090045,0.060390628
Sweden,0.016646696,0.708461008,0.1432484,0.049416666,0.819631695,0.002766921,0.001815932,0.014549053,0.245802313,0.95432901,0.439467345
Netherlands,0.37003838,0.649995105,0.156714868,0.022198023,0.819631695,0.006164599,0.00169682,0.094058386,0.31396607,0.878801704,0.064693456
Peru,0.020663507,0.070957024,0.184237826,0.107278828,0.702327292,0.00289944,0.019593795,0.010857898,0.740283177,0.299541769,0.654358798
Guinea-Bissau,0.042091221,0.0045124,0.569362124,0.036767566,0.736378776,0.002592128,0.001953865,0.010185826,0.384204992,0.497850538,0.074599856
Djibouti,0.03720852,0.022527368,0.159539041,0.011229834,0.761014767,0.003854073,0.001710542,0.010095792,0.035799735,0.498052685,0.173358751
Myanmar,0.06977594,0.010656188,0.436910926,0.050185953,0.695242366,0.003507082,0.040833721,0.013762683,0.782053905,0.593353529,0.531396077
Togo,0.119282518,0.004534243,0.428512862,0.012879894,0.400550266,0.003094353,0.001838257,0.010114239,0.345352429,0.467772239,0.136224997
Bhutan,0.016492425,0.030539455,0.227310285,0.136979512,0.972096176,0.00247704,0.002118412,0.010114467,0.850601954,0.646253626,0.369956557
Rwanda,0.391158491,0.00575525,0.362061954,0.012703378,0.58631793,0.003579756,0.001840167,0.010228555,0.359524189,0.368023222,0.439239544
Senegal,0.067545869,0.013425347,0.24552007,0.013674708,0.619013905,0.005234289,0.004932789,0.010452256,0.176641139,0.523295521,0.065960817
Nicaragua,0.043146955,0.019032501,0.315995082,0.049485922,0.720082439,0.002774264,0.003239357,0.010568076,0.612218259,0.507879471,0.057831964
Guatemala,0.137258098,0.043372363,0.185022644,0.021094195,0.80714993,0.003587779,0.004428389,0.014515031,0.732050217,0.535444161,0.683160326
Ireland,0.056304015,0.812603458,0.108022088,0.033340571,0.798853109,0.002802928,0.001962304,0.009302366,0.419734482,0.890895557,0.718485942
Benin,0.08506769,0.008043795,0.334548909,0.012922265,0.626466683,0.002384099,0.001771289,0.010292121,0.32208087,0.474273051,0.243729104
Ghana,0.10788223,0.021468604,0.267467783,0.013160013,0.824066072,0.003693874,0.003255358,0.010707289,0.357606965,0.461415008,0.278593055
Lebanon,0.53978754,0.10929901,0.183611252,0.012008121,0.924499684,0.014986564,0.002720507,0.014436893,0.158792983,0.706146677,0.079157229
Bulgaria,0.048238684,0.086820924,0.159638454,0.017953132,0.809578759,0.005545799,0.002009195,0.030467028,0.167198474,0.790020564,0.178521282
Brazil,0.02063728,0.12532509,0.162364588,0.079988215,0.841352586,0.002984895,0.057418273,0.072101795,0.646226955,0.251886152,0.339282185
Mexico,0.055692829,0.125055864,0.156910695,0.017060299,0.835499712,0.009754331,0.090020798,0.04834736,0.339883363,0.609605559,0.262742603
Kazakhstan,0.003626533,0.147639742,0.108522421,0.024647151,0.720392342,0.008009707,0.014469022,0.051455158,0.092220819,0.83994986,0.157207404
Burkina Faso,0.059387639,0.00663807,0.356208787,0.011799447,0.806444461,0.004377847,0.002356893,0.010275662,0.255927079,0.501955817,0.141753357
Zimbabwe,0.031472947,0.008849573,0.288009618,0.013201511,0.504135813,0.011336932,0.006509708,0.010955851,0.24748655,0.206729974,0.034267227
Paraguay,0.013937144,0.0573441,0.217532446,0.084924554,1,0.002672317,0.004779273,0.011209419,0.419866274,0.164911107,0.081113593
Ukraine,0.055125391,0.040344426,0.179733553,0.020290375,0.762224143,0.003134887,0.00382032,0.01330852,0.619144732,0.84334857,0.450886365
Pakistan,0.236852387,0.014134642,0.330469278,0.01219392,0.730029554,0.029005752,0.233335996,0.019762005,0.085686338,0.673279887,0.287656919
Georgia,0.03863446,0.055505031,0,0.050131945,0.894446698,0.002986551,0.002503714,0.011855108,0.35887539,0.786067368,0.034641485
Qatar,0.184424827,0.869188629,0.146665116,0.010913821,0.829001837,0.094699269,0.002139806,0.01083627,0.004665246,0.625855699,0.121882275
Turkmenistan,0.008755353,0.094349883,0.232643985,0.019235618,0.304445212,0.035413566,0.037714687,0.01691021,0.00567692,0.754463522,0.252998337
Lithuania,0.031096032,0.227896793,0.138162553,0.031312051,0.820117965,0,0.001822998,0.001419446,0.187820401,0.907487647,0.138540533
Philippines,0.319760006,0.029667325,0.206378678,0.016993491,0.746260384,0.008792478,0.090211551,0.11347672,0.91999358,0.508014551,0.061194573
China,0.134019392,0.080462219,0.155908306,0.014759011,0.898636681,0.012199849,0.470712948,1,0.356138299,0.725105017,0.078122387
Guyana,0.001138265,0.044626153,0.333557175,0.812884649,0.886046576,0.002881028,0.003420211,0.010246586,0.747164838,0.432263373,0.609482876
Morocco,0.06986181,0.034599465,0.251075074,0.012423879,0.687855097,0.014924263,0.013050569,0.011328718,0.083898343,0.686659355,0.06071598
Turkey,0.090211807,0.132651905,0.16915246,0.015422577,0.894983358,0.012601687,0.07438192,0.019644788,0.202837233,0.754406846,0.214312334
Finland,0.012001565,0.61441475,0.145365183,0.054036365,0.819631695,0.00574962,0.001783492,0.016445157,0.170056939,0.971293276,0.352972748
Argentina,0.012298728,0.154186269,0.201271345,0.047881423,0.832632483,0.004531981,0.042461666,0.034336346,0.375914571,0.023468857,0.136677394
Panama,0.047299071,0.141557167,0.159422103,0.061369976,0.799616527,0.002381184,0.002246534,0.010097012,0.844793971,0.467002381,0.195726815
Democratic Republic of the Congo,0.028465096,0.001613116,0.349733695,0.023985444,0.231157045,0.002228855,0.001796931,0.011102734,0.53082046,0.384197794,0.886484189
Trinidad and Tobago,0.231865934,0.20840588,0.138090523,0.016744468,0.774940224,0.006777555,0.001730833,0.010903663,0.598726621,0.48734741,0.069258639
Chad,0.008479461,0.008686437,0.393898344,0.01301597,0.228808841,0.003446248,0.002899453,0.010911181,0.217226784,0.532333557,0.069211965
Tunisia,0.062554143,0.046407254,0.217854972,0.011697496,0.864668341,0.027026482,0.00636146,0.014815658,0.102427013,0.706450842,0.456116118
Venezuela (Bolivarian Republic of),0.029029245,0.109432593,0.189101205,0.07351214,0.750226128,0.004132761,0.027894513,0.014947058,0.615703687,0.447031419,0.100112228
Belize,0.012944116,0.06032706,0.230306083,0.076587028,0.959637087,0.002554171,0.001831839,0.010264528,0.688570191,0.548729168,0.078107919
Cameroon,0.044289574,0.013321242,0.265868622,0.02164804,0.618693925,0.002621525,0.003076324,0.010732466,0.570480062,0.455966493,0.715190929
Jamaica,0.23246096,0.061943899,0.19790527,0.018384252,0.741352334,0.005369229,0.001672748,0.01793275,0.441829075,0.557416754,0.177005721
Suriname,0.001332552,0.076660087,0.27945821,0.334714921,0.798573441,0.003123295,0.002278642,0.011113766,0.582682101,0.42337364,0.078813615
Libya,0.001786351,0.094221174,0.168062619,0.011191566,0.438678354,0.218630305,0.008608215,0.012037171,0.035961351,0.63511572,0.166312515
Algeria,0.01388939,0.050601299,0.242960821,0.01145073,0.566018055,0.033072965,0.010302218,0.012307776,0.06548353,0.651162769,0.022068627
Estonia,0.02058255,0.287114976,0.158415642,0.033962825,0.817792436,0.005478661,0.001700158,0.017783207,0.200339232,0.93984907,0.107178008
Niger,0.012863568,0.003211624,0.464640843,0.011792496,0.384531077,0.004003332,0.003934177,0.010270539,0.099946086,0.552676697,0.15802643
United Arab Emirates,0.110018507,0.434286987,0.15887958,0.010951153,0.813607492,0.473787182,0.007321415,0.010365855,0.013549811,0.607618098,0.361797227
Canada,0.001484703,0.600483584,0.156261028,0.163950681,0.816986185,0.002934377,0.004816609,0.154125673,0.222398908,0.916565357,0.650778569
Haiti,0.356326501,0.007154671,0.260143228,0.013044489,0.238960038,0.005406051,0.00339151,0.010499437,0.386540991,0.565555521,0.156139451
Nigeria,0.180554046,0.016384956,0.423997695,0.012785816,0.535541788,0.00475247,0.009767695,0.024355273,0.430569186,0.472141064,0.802792165
Dominican Republic,0.194606512,0.075576685,0.16802745,0.014687575,0.610439936,0.01563536,0.013696447,0.01552956,0.207395405,0.563330962,0.182127619
Guinea,0.041948439,0.006551379,0.313254622,0.034323939,0.630550845,0.002336578,0.001871016,0.010487228,0.539392714,0.480298724,0.144184343
Portugal,0.094512414,0.287945726,0.102112721,0.026979071,0.840208718,0.005794397,0.01400217,0.014857157,0.319201137,0.758527238,0.262838016
Mauritania,0.001897396,0.014848068,0.271366193,0.013842529,0.411603456,0.005129486,0.003354797,0.010272735,0.062326173,0.58479441,0.227010464
