,country,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Human Development Index (HDI) [highest = 1] (-),Total renewable water resources per capita (m3/inhab/yr),Dam capacity per capita (m3/inhab),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Total water withdrawal (10^9 m3/yr),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Agricultural water withdrawal as % of total water withdrawal (%),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),Flood occurrence (WRI) (-),Total population with access to safe drinking-water (JMP) (%),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),"Mortality rate, infant (per 1,000 live births)",Resilience and securityStorage drought duration index(Total dam capacity_km3)
0,Afghanistan,0.038181167,0.029867419,0.010630264,0.006753895,0.003034231,0.286053285,0.206896552,0.003540469,0.001578856,0.029069767,0.000808298,0.002541613,0.026764828,0.114077541,0.986782782,0.014213729,0.000594481,0.002115932,0.000564235,0.755102041,0.345534407,0.418859649,0.557809331,0.565491184,0.002387387
1,Albania,0.001620052,0.001338431,0.002055176,0.012853709,0.026149895,0.229845651,0.717241379,0.020596551,0.039857215,0.001315407,0.001105389,0.003544152,0.001859145,0.099836181,0.640716382,0.00184704,0.005290446,0.021417682,0.000154692,0.551020408,0.928257687,0.947368421,0.896551724,0.088161209,0.004789035
2,Algeria,0.139295786,0.012986184,0.035294018,0.001938667,0.023778544,0.144295578,0.663793103,0.000554473,0.005940256,0.009696221,0.000910825,0.045320813,0.01374122,0.050420595,0.640944826,0.035811946,0.011595586,0.010852678,0.007101096,0.571428571,0.75988287,0.800438596,0.681541582,0.231738035,0.010242652
3,Andorra,2.57E-05,1.03E-05,7.23E-05,0.020391054,0.235686234,0.005555204,0.825862069,0.008062113,0.037034498,0.02321838,0.017546045,0.032869528,0.0292855,0.089683368,0.532361007,0.017892015,0.038222295,0.022992088,0.010387795,0.673469388,1,1,1,0.01511335,0.051617935
4,Angola,0.072912268,0.011777279,0.022891702,0.002762523,0.024073823,0.120944995,0.35,0.009789976,0.009035947,0.000213227,0.001142585,0.004003859,0.0009209,0.003151238,0.208926188,0.000479016,0.116532187,0.004352407,0.004217115,0.346938776,0.25329429,0.212719298,0.501014199,0.61209068,0.011224178
5,Antigua and Barbuda,2.40E-05,8.64E-05,2.17E-05,0.027074464,0.086023168,0.021411807,0.69137931,0.001071877,0.00150088,2.62E-06,1.19E-05,7.05E-05,8.54E-06,0.023132074,0.157332733,0.002190404,0.089806164,0.032817876,0.001867957,0.734693878,0.969253294,0.976973684,0.957403651,0.052896725,5.97E-06
6,Argentina,0.162611664,0.004107889,0.048157205,0.001740193,0.086788028,0.066011162,0.79137931,0.039228305,0.085413683,0.04059593,0.019074869,0.073658915,0.04963896,0.175679908,0.743110509,0.002708555,0.01099105,0.002076186,0.00065981,0.510204082,0.98682284,1,0.979716024,0.083123426,0.156343403
7,Armenia,0.001737608,0.001215956,0.00218463,0.012224856,0.023070776,0.181188097,0.663793103,0.005189421,0.013434342,0.00309157,0.000583691,0.007743229,0.003759289,0.199058987,0.746046732,0.015003252,0.002508489,0.005276213,0.000379806,0.673469388,1,1,1,0.11209068,0.001648129
8,Australia,0.452748298,0.003876038,0.024898423,0.000149309,0.348070932,0.031137787,0.972413793,0.039364964,0.09025312,0.015261628,0.012694325,0.042701112,0.021746529,0.137196559,0.637574251,0.00165795,0.059041638,0.008248167,0.002255255,0.551020408,1,1,1,0.018891688,0.092437045
9,Austria,0.004903961,0.004116777,0.006009501,0.012997507,0.287687099,0.014266449,0.929310345,0.017328683,0.006881281,0.000112064,0.012851693,0.009048041,0.00458229,0.079958842,0.022192801,0.002497382,0.082347436,0.05905519,0.000689072,0.673469388,1,1,1,0.01511335,0.002528444
10,Azerbaijan,0.0050631,0.004935425,0.006441348,0.014073121,0.024423407,0.067572376,0.653448276,0.006927793,0.062414696,0.013473837,0.014601812,0.005642431,0.016789335,0.266128461,0.729019144,0.014651687,0.002840183,0.00392521,0.00012849,0.612244898,0.80966325,0.756578947,0.892494929,0.20906801,0.025599827
11,Bahamas,0.000810026,7.59E-05,0.000380605,0.003214516,0.184409111,0.009255801,0.743103448,0.003606796,0.037034498,0.02321838,0.017546045,0.000370285,0.0292855,0.089683368,0.532361007,0.017892015,0.038222295,0.022992088,0.010387795,0.549604813,0.976573939,0.98245614,0.967545639,0.243424166,0.051617935
12,Bahrain,4.39E-05,0.000181518,0.001570351,0.241088899,0.142307,0.003224814,0.803448276,0.000152719,0,0.00021032,6.72E-05,0.003450951,0.000564261,0.058256234,0.334829054,0.034717674,0.06226376,0.010906286,0.020511149,0,1,1,1,0.054156171,0
13,Bangladesh,0.008652772,0.118781988,0.070009936,0.135712502,0.008368978,0.162054695,0.406896552,0.015114677,0.001156994,0.045784884,0.003671912,0.045320813,0.047129088,0.044614125,0.882721283,0.001479271,0.004519096,0.01308498,0.00161431,1,0.808199122,0.85745614,0.726166329,0.302267003,0.007696918
14,Barbados,2.34E-05,0.000221198,9.74E-05,0.08361798,0.104282984,0.015421404,0.75862069,0.000549769,0.037034498,7.97E-05,2.96E-05,0.000231743,9.99E-05,0.056654929,0.680048615,0.022717355,0.042510045,0.016005577,0.001741128,0.734693878,0.995607613,0.996710526,0.993914807,0.12720403,0.051617935
15,Belarus,0.01213986,0.002328322,0.008764378,0.005484603,0.034185293,0.091276955,0.762068966,0.012051591,0.009357113,0.000626453,0.002112542,0.006566883,0.001829184,0.028767843,0.310116794,0.001188695,0.026071242,0.001157417,0.000714037,0.530612245,0.995607613,0.990131579,0.997971602,0.010075567,0.003683873
16,Belgium,0.001783811,0.000262137,0.013268408,0.04687733,0.265000844,0.007413418,0.937931034,0.003152121,0.00036044,6.54E-05,0.015307582,0.009287341,0.005241822,0.070428813,0.011325278,0.012735812,0.086720226,0.013950721,0.00050437,0.571428571,1,1,1,0.013853904,0.000171478
17,Belize,0.00134166,0.000229217,0.000194438,0.00181033,0.028898918,0.135316176,0.596551724,0.113769794,0.009238304,9.94E-05,0.000101097,0.000123428,0.000126151,0.053724049,0.680736675,0.000320181,0.010717982,0.002554896,0.00013928,0.530612245,0.992679356,1,0.977687627,0.113350126,0.000144622
18,Benin,0.006710055,0.006690209,0.006189625,0.012018352,0.004381961,0.278309643,0.244827586,0.004645072,6.00E-05,8.58E-05,0.000143062,0.001806082,0.000300922,0.002587551,0.25344316,0.000246151,0.022167846,0.005731159,0.001352864,0.734693878,0.676427526,0.694078947,0.69979716,0.722921914,2.79E-05
19,Bhutan,0.002243742,0.000543419,0.000376502,0.002195824,0.018233727,0.209908432,0.417241379,0.205787273,0,0.000462209,1.43E-05,0.000193959,0.000437585,0.091804966,0.945703161,0.00036005,0.004638135,0.009464291,0.004551257,0.959183673,1,1,1,0.279596977,0
20,Bolivia (Plurinational State of),0.064249378,0.003842882,0.009044809,0.001032864,0.019821446,0.139975964,0.563793103,0.100874007,0.001516514,0.002790698,0.000152599,0.001692729,0.002737206,0.036756899,0.924304687,0.000298549,0.010591379,0.004441215,0.00583524,0.632653061,0.853587116,0.73245614,0.93306288,0.243424166,0.000707144
21,Bosnia and Herzegovina,0.002993294,0.002055749,0.001982817,0.007995082,0.03042689,0.067505673,0.679310345,0.022008835,0.024787411,0.02321838,0.000342394,0.004524021,0.0292855,0.089683368,0.532361007,0.000684221,0.038222295,0.022992088,0.000945576,0.734693878,0.998535871,1,0.993914807,0.044080605,0.003460939
22,Botswana,0.034021085,0.000806654,0.001858734,0.000226763,0.045114156,0.023787223,0.605172414,0.010918559,0.014355086,0.000100291,0.000111588,0.001246877,0.000247045,0.016325978,0.359365352,0.000517014,0.058296105,0.001504622,0.004088407,0.428571429,0.944363104,0.915570175,0.983772819,0.386649874,0.001318714
23,Brazil,0.498048335,0.032224321,0.214188657,0.00282416,0.058462302,0.055799596,0.667241379,0.081838468,0.096133505,0.057311047,0.045355269,0.210815331,0.086302801,0.063471802,0.603436314,0.00079938,0.017866484,0.005096933,0.00061625,0.632653061,0.972181552,0.85745614,1,0.136020151,0.832360256
24,Brunei Darussalam,0.000335707,0.000109381,0.000384851,0.009018007,0.169709455,0.01285273,0.810344828,0.039389196,0.003024896,7.70E-06,0.017546045,0.001887947,0.000114324,0.042986253,0.057907186,0.000893142,0.038222295,0.069398229,0.010387795,0.469387755,0.825722432,0.812739128,0.884861749,0.100755668,5.35E-05
25,Bulgaria,0.006490149,0.002018196,0.0062647,0.007811041,0.049484737,0.048553692,0.75862069,0.005899022,0.026179165,0.001212936,0.018798283,0.011088385,0.00742909,0.162646855,0.148241377,0.010854207,0.006333291,0.001614789,1.16E-05,0.653061224,0.991215227,0.989035088,0.99188641,0.050377834,0.007746115
26,Burkina Faso,0.016036172,0.015380561,0.006533609,0.008567777,0.003833239,0.257930943,0.096551724,0.001383547,0.007932648,0.000611483,0.000103481,0.004710422,0.001068338,0.007060695,0.516967962,0.002020633,0.008963658,0.000994292,0.003134611,0.673469388,0.740849195,0.734649123,0.949290061,0.658690176,0.006342882
27,Burundi,0.0016259,0.010665372,0.001628743,0.04876614,0.001171246,0.450920471,0.082758621,0.0022775,0.037034498,0.000322674,7.15E-05,0.000522681,0.0003615,0.003604994,0.796680682,0.002640045,0.004868753,0.000926147,0.000646884,0.673469388,0.647144949,0.712719298,0.819472617,0.482367758,0.051617935
28,Cabo Verde,0.000233942,0.000213455,0.000414669,0.016553557,0.018888926,0.081265499,0.472413793,0.001097874,0,3.63E-05,1.91E-06,0,2.89E-05,0.008631572,0.93072347,0.002183079,0.041835844,0.00546472,0.014693787,0.549604813,0.878477306,0.860745614,0.878296146,0.141057935,0
29,Cambodia,0.010586482,0.013863142,0.004353272,0.010890876,0.007730435,0.282461585,0.353448276,0.058496669,1.78E-06,0.002984012,0.000157368,0.00121413,0.002863357,0.026414218,0.944888876,0.000262071,0.005571263,0.005962545,0.00406436,0.795918367,0.641288433,0.661184211,1,0.267002519,1.19E-06
30,Cameroon,0.027804649,0.011962427,0.015901252,0.006259321,0.008150965,0.173659077,0.322413793,0.022671961,0.018126214,0.001071221,0.000498808,0.003088223,0.001423662,0.007408524,0.680649258,0.000398129,0.019377576,0.000762619,0.001612072,0.448979592,0.642752562,0.481359649,0.894523327,0.61209068,0.018550823
31,Canada,0.577821551,0.007681201,0.03532169,0.000217611,0.270650129,0.021150562,0.944827586,0.155403203,0.653482514,0.003835756,0.133857892,0.061542802,0.046770347,0.198217585,0.074519582,0.000948524,0.033985546,0.006948698,0.000233569,0.387755102,0.997071742,0.989035088,1,0.032745592,1
32,Central African Republic,0.036433617,0.003092381,0.002255875,0.000678695,0.001969492,0.374835676,0.005172414,0.06034554,0.037034498,5.81E-07,5.72E-05,0.000736791,8.87E-05,0.001521934,0.005545828,8.00E-05,0.013625217,0.002060293,0.000757852,0.469387755,0.538799414,0.5,0.789046653,1,0.051617935
33,Chad,0.075093782,0.012926118,0.004030541,0.001222715,0.003588274,0.411775823,0.048275862,0.005986161,0.037034498,0.000977035,0.000494516,0.00128592,0.001149285,0.010352712,0.768170648,0.001108299,0.006684895,0.000696599,0.000416565,0.612244898,0.279648609,0.394736842,0.427991886,0.850125945,0.051617935
34,Chile,0.044218989,0.002539941,0.018723033,0.00282705,0.092003454,0.046595163,0.813793103,0.098301687,0.020409866,0.042761628,0.022622794,0.015937349,0.046552211,0.394053443,0.834648619,0.002325604,0.005087028,0.004359113,0.000258057,0.510204082,0.985358712,0.926535088,0.993914807,0.055415617,0.015704992
35,China,0.56146083,0.672295616,1,0.01881399,0.052630178,0.092094642,0.655172414,0.003845977,0.016307513,0.559883721,0.636623748,1,0.785938147,0.083219448,0.64737645,0.011217907,0.017029072,0.035983798,0.000795096,0.714285714,0.934114202,0.923245614,0.949290061,0.065491184,0.986873886
36,Colombia,0.066774144,0.010789853,0.046796919,0.005146472,0.037645295,0.07701956,0.667241379,0.094912634,0.006579989,0.009289244,0.017787315,0.043935394,0.017879224,0.055685265,0.471979575,0.000521694,0.015425202,0.007428085,0.000368423,0.755102041,0.874084919,0.712719298,0.935091278,0.128463476,0.013407313
37,Comoros,0.000107087,0.000651853,0.000269637,0.054851653,0.007266321,0.3807552,0.286206897,0.002900165,0.037034498,6.83E-06,2.38E-06,4.03E-05,6.57E-06,0.000802296,0.472435233,0.000209296,0.056734744,0.001615869,0.005329755,0.326530612,0.855051245,0.880482456,0.84989858,0.588161209,0.051617935
38,Congo,0.020000328,0.001984355,0.004137684,0.001631977,0.01195282,0.105880503,0.406896552,0.320222334,5.02E-05,5.81E-06,0.000114449,0.000782132,0.00011393,0.001969302,0.043846515,0,0.079453189,0.004011552,0.003584968,0.346938776,0.655929722,0.342105263,0.914807302,0.243424166,1.07E-05
40,Costa Rica,0.002986861,0.001182853,0.004561881,0.011953984,0.070780491,0.060387766,0.722413793,0.044904052,0.011506089,0.00334593,0.001144492,0.008191601,0.004190566,0.131401002,0.724460695,0.001408416,0.01325832,0.007102246,0.000821082,0.632653061,0.967789165,0.911184211,0.99188641,0.074307305,0.002372735
41,Cote d'Ivoire,0.018857519,0.013571705,0.014490173,0.009297586,0.008841792,0.260847707,0.239655172,0.006772586,0.043473191,0.000872093,0.00115403,0.004010156,0.001520378,0.008078037,0.519026513,0.001314155,0.018814006,0.003804434,0.000745394,0.469387755,0.734992679,0.657894737,0.860040568,0.243424166,0.051617935
42,Croatia,0.003344793,0.002041542,0.002806915,0.00895952,0.078886052,0.035236448,0.796551724,0.04961211,0.006560315,0.000110465,0.000877444,0.005710443,0.000932989,0.033535779,0.106844451,0.000381395,0.048138463,0.011359776,0.001035005,0.612244898,0.994143485,0.996710526,0.99188641,0.031486146,0.001143189
43,Cuba,0.006283695,0.002973525,0.01047499,0.013042939,0.050158896,0.045704878,0.696551724,0.006612667,0.014243553,0.006568314,0.003528851,0.021390859,0.009138036,0.124891468,0.652739547,0.006210147,0.009939808,0.003474166,0.00054895,0.612244898,0.925329429,0.888157895,0.926977688,0.027707809,0.006728576
44,Cyprus,0.000539237,0.000439929,0.000926676,0.015817569,0.158765874,0.024158006,0.85862069,0.001300587,0.008069064,0.000267442,8.11E-05,0.001365267,0.000402105,0.052661285,0.594705363,0.007660588,0.049323785,0.013309998,0.00259267,0,1,1,1,0.002518892,0.000396558
45,Czechia,0.004611006,0.003143526,0.009268431,0.016748149,0.121807322,0.02460681,0.887931034,0.002430805,0.008535968,6.77E-05,0.004612303,0.007745748,0.002135888,0.029880172,0.028730036,0.006430291,0.087847168,0.021417128,0.001272635,0.653061224,1,1,1,0.243424166,0.00378405
46,Democratic People's Republic of Korea,0.007048102,0.010985574,0.01863557,0.026329661,0.003510102,0.275980475,0.580070449,0.005967615,0.023809753,0.009607558,0.005460181,0.011350355,0.011370377,0.06851276,0.76742922,0.007197304,0.001262256,0.006528619,7.75E-05,0.612244898,0.995607613,0.993421053,0.997971602,0.243424166,0.025224269
47,Democratic Republic of the Congo,0.137138837,0.05133462,0.042316096,0.004122902,0.002174654,0.240481281,0.143103448,0.031003955,1.85E-05,0.000104506,0.000700048,0.00583513,0.000891727,0,0.105723433,5.18E-05,0.036380283,0.003502337,0.002211779,0.387755102,0.303074671,0.245614035,0.61663286,0.243424166,6.28E-05
48,Denmark,0.002392062,0.000789426,0.005958315,0.017394755,0.345284678,0.016985875,0.95862069,0.002058887,9.95E-05,0.000474855,0.000156891,0.004784731,0.000967286,0.024942233,0.443115296,0.005197574,0.301765961,0.038649491,0.039114623,0,1,1,1,0.020151134,2.38E-05
49,Djibouti,0.001355112,0.000240556,0.000872982,0.004876375,0.016794855,0.016986746,0.205172414,0.000625046,0.037034498,4.36E-06,0,0.000181364,1.84E-05,0.002419556,0.158712844,0.001637692,0.038222295,0.229531638,0.010387795,0.591836735,0.853587116,0.612938596,0.947261663,0.589420655,0.051617935
50,Dominica,4.21E-05,2.48E-05,5.34E-05,0.011753571,0.041723508,0.162489301,0.603448276,0.005505381,0.037034498,1.45E-06,0,0.000219148,1.97E-05,0.056014794,0.050259067,0.002589956,0.038222295,7.13E-05,0.010387795,0.734693878,0.918008785,0.910087719,0.912778905,0.369017632,0.051617935
51,Dominican Republic,0.002844741,0.002388141,0.010241262,0.026964927,0.041890282,0.068300181,0.634482759,0.004396886,0.006147437,0.010992733,0.003146876,0.010748327,0.011922417,0.176426701,0.837438893,0.013058748,0.00598607,0.003601267,0.000577832,0.755102041,0.775988287,0.801535088,0.703853955,0.27581864,0.002692436
52,Ecuador,0.014992204,0.006792282,0.012543652,0.00799842,0.03715728,0.112620861,0.662068966,0.051843306,0.013071334,0.011738372,0.002618026,0.016264811,0.013026367,0.120179638,0.818496124,0.001754306,0.007233334,0.011872193,0.001171974,0.653061224,0.808199122,0.731359649,0.866125761,0.130982368,0.00914052
53,Egypt,0.05856867,0.062856898,0.049392232,0.011882793,0.011431082,0.138716663,0.556896552,0.001172755,0.04974751,0.089171512,0.025751073,0.135373005,0.101833783,0.164068295,0.795714524,0.030363142,0.003424891,0.011349655,0.000388968,0.510204082,0.991215227,0.989035088,1,0.243424166,0.199875953
54,El Salvador,0.001228783,0.002060295,0.005382279,0.038003317,0.022919298,0.060730239,0.503448276,0.008089,0.017320839,0.002079942,0.001015737,0.005949742,0.002776628,0.066675247,0.679138106,0.003424328,0.008020724,0.000770378,0.000494582,0.775510204,0.909224012,0.851973684,0.949290061,0.123425693,0.004609594
55,Equatorial Guinea,0.001638767,0.000404215,0.001068848,0.005417802,0.058836112,0.027389272,0.374137931,0.040524864,0.037034498,1.45E-06,1.43E-05,0.000178845,1.94E-05,0.001504365,0.050766735,4.05E-05,0.038222295,0.022992088,0.046254616,0,0.237188873,0.248903509,0.442190669,0.740554156,0.051617935
56,Eritrea,0.006876154,0.003451476,0.002363117,0.003405679,0.006429771,0.211048803,0.1,0.004215993,0.000368669,0.000799419,4.77E-06,0.000370285,0.000758218,0.033452013,0.949913644,0.002895143,0.005467368,0.000545936,0.022729994,0.510204082,0.382137628,0.487938596,0.456389452,0.363979849,5.24E-05
57,Estonia,0.002649983,0.000460728,0.001058995,0.003415597,0.122859685,0.028399104,0.872413793,0.019091874,0.003945593,6.54E-06,0.008206962,0.000727974,0.002338912,0.277389941,0.002534213,0.005007155,0.009520992,0.001948116,1.68E-05,0.224489796,0.994143485,0.989035088,1,0.003778338,0.000216873
58,Eswatini,0.001013556,0.001174335,0.000374869,0.00791271,0.018966425,0.100680505,0.396551724,0.007886922,0.014835214,0.001462209,9.87E-05,0.00050001,0.001396855,0.194173571,0.946828123,0.020135832,0.002731193,0.001880865,0.001386088,0.632653061,0.62079063,0.658991228,0.870182556,0.465994962,0.000695171
59,Ethiopia,0.064583916,0.094060961,0.025269501,0.011888792,0.003792935,0.408607364,0.162068966,0.002255417,0.008440559,0.014079942,0.000243681,0.010181565,0.013854362,0.018721669,0.92312281,0.008370334,0.003374294,0.001450051,0.00714694,0.653061224,0.374816984,0.436403509,0.860040568,0.439546599,0.037413888
61,Fiji,0.001066778,0.000450689,0.000590361,0.00580034,0.034981918,0.127176345,0.6,0.064001114,0.004324789,7.27E-05,4.58E-05,0.000298495,0.000104994,0.018230676,0.591979592,7.01E-05,0.033379428,0.005256683,0.001518644,0.549604813,0.93704246,0.903508772,0.989858012,0.253148615,0.000158093
